Article,Journal
9411166,Int.J.Mod.Phys.
9303080,Phys.Rev.Lett.
110021,Class.Quant.Grav.
9710083,Phys.Rev.Lett.
201183,Nucl.Phys.
9408081,Phys.Rev.
205184,Nucl.Phys.
9801185,Nucl.Phys.
105173,Prog.Theor.Phys.
102149,Class.Quant.Grav.
9604162,Acta
105138,Nucl.Phys.
9710244,Nucl.Phys.
9707155,Mod.Phys.Lett.
9502140,Nucl.
103239,Phys.Rev.
207252,Nucl.Phys.
9408111,Z.Phys.
9803172,Phys.Lett.
9403184,J.Math.Phys.
9506145,Int.J.Mod.Phys.
9510048,J.Math.Phys.
108153,Phys.Lett.
9904087,Nucl.Phys.
9807011,Nucl.Phys.
9505054,Phys.Rev.Lett.
9807223,Phys.Lett.
9905212,JHEP
12154,J.Phys.
9305028,Phys.Lett.
9807138,JHEP
9509072,Phys.Lett.
9912199,Int.J.Mod.Phys.
2197,Phys.Lett.
212034,Mod.
9810233,J.Math.Phys.
9707110,Phys.Lett.
9812149,Phys.Lett.
9610212,Int.J.Mod.Phys.
9309100,Mod.
9401048,Lett.Math.Phys.
9707062,Phys.Lett.
102061,Phys.Lett.
9803144,Eur.Phys.J.
9310101,Phys.Rev.
9204007,Phys.
9910194,Nucl.Phys.
9505143,Nucl.
9407175,Mod.Phys.Lett.
9912274,Prog.Theor.Phys.
102031,JHEP
104037,JHEP
9911090,JHEP
204144,JHEP
9908081,Prog.Theor.Phys.
9704105,Phys.Rev.
9806192,Mod.Phys.Lett.
109153,Class.Quant.Grav.
9402032,Phys.Lett.
203049,Phys.Rev.
9507076,Phys.Lett.
2025,Phys.Lett.
206042,Phys.Rev.
9912152,Phys.Lett.
9810173,Int.J.Theor.Phys.
9506024,Phys.Lett.
9810242,Phys.Lett.
105314,Phys.Rev.
9904086,Phys.Rev.
9501136,Nucl.Phys.
106217,JHEP
108135,JHEP
9612133,Nucl.Phys.
9705082,Class.Quant.Grav.
9910190,Nucl.Phys.
9906179,JHEP
2080,Lett.Math.Phys.
9712249,J.Math.Phys.
9210040,Int.J.Mod.Phys.
9912082,Phys.Rev.
9207001,Int.J.Mod.Phys.
9907065,J.Math.Phys.
7014,Phys.Rev.
9205002,Mod.
9910171,Phys.Rev.Lett.
9412126,J.Phys.
211082,Phys.Lett.
9904024,JHEP
10163,Phys.Lett.
9910258,Phys.Lett.
9207067,Phys.Lett.
9311087,Phys.
1035,JHEP
9212042,Phys.Lett.
9309030,Commun.Math.Phys.
9605141,J.Phys.
9705153,Phys.Rev.
9812237,JHEP
206044,Phys.Rev.
9803190,Phys.Rev.
9904044,Lett.Math.Phys.
9608156,Phys.Rev.
10142,Phys.Lett.
9209016,Phys.Lett.
9903009,Int.J.Mod.Phys.
9802191,Annals
9801072,Nucl.Phys.
9910021,JHEP
3092,Phys.Lett.
9810212,J.Math.Phys.
9707021,Phys.Lett.
9611215,Nucl.Phys.
9205020,Mod.Phys.Lett.
9703161,Nucl.Phys.
9907025,Phys.Rev.
9605060,J.Math.Phys.
1027,Nucl.Phys.
11043,Nucl.Phys.
5182,Nucl.Phys.
9602014,Phys.Rev.
9808014,Adv.Theor.Math.Phys.
9504114,Int.J.Mod.Phys.
9808041,Annals
111145,Phys.Rev.
11245,Mod.Phys.Lett.
9304062,Phys.Rev.Lett.
201218,JHEP
9705124,Phys.Rev.Lett.
9508089,Nucl.Phys.Proc.Suppl.
104106,JHEP
107072,JHEP
9612199,Class.Quant.Grav.
9802196,Nucl.Phys.
9212052,J.Math.Phys.
9705187,J.Phys.
9711030,Phys.Lett.
11115,Int.J.Mod.Phys.
3061,Phys.Lett.
9811191,J.Phys.
9909064,J.Math.Phys.
9809126,Phys.Lett.
9807151,Phys.Rev.
9904181,Phys.Rev.
9706034,J.Phys.
9708125,J.Phys.
12107,Int.J.Mod.Phys.
9512025,Phys.Lett.
9606079,Int.J.Mod.Phys.
9406100,Int.J.Mod.Phys.
112215,Nucl.Phys.
9903100,Phys.Rev.
9305087,Mod.Phys.Lett.
9510240,Phys.Rev.
9510122,Phys.Rev.
9803184,Phys.Lett.
205293,JHEP
9508178,Phys.Rev.
110147,Phys.Lett.
9404106,Phys.Lett.
8068,Phys.Lett.
206005,JHEP
9808093,Phys.Lett.
9902138,Lett.Math.Phys.
9208052,J.Math.Phys.
205143,Int.J.Mod.Phys.
9908013,Nucl.Phys.
9702141,Nucl.Phys.Proc.Suppl.
9507050,Nucl.Phys.Proc.Suppl.
9412171,Nucl.Phys.
9157,Phys.Rev.
9801205,Nucl.Phys.
106151,Phys.Rev.
9306131,Phys.
106188,JHEP
102001,Phys.Rev.
9611100,Phys.Rev.
202021,JHEP
9208060,Int.J.Mod.Phys.
9502162,Nucl.
9401133,Phys.Lett.
112051,Nucl.Phys.Proc.Suppl.
9709221,Phys.Lett.
9404145,Nuovo
110103,Phys.Rev.
107188,Phys.Rev.
9508113,Phys.Lett.
103136,Nucl.Phys.Proc.Suppl.
9702056,JHEP
9403132,Phys.Lett.
9903070,Phys.Rev.
9907177,Nucl.Phys.
9404116,Int.J.Mod.Phys.
9912187,Phys.Rev.
12067,Nucl.Phys.
110074,Nucl.Phys.
